EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
955434,MORGAN CO.,GARY,05/22/2021,1229,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,87,BOU,0,0,Law Enforcement, ,0.01,25,8,WNW,8,WNW,GARY,05/22/2021,1230,40.14,-103.7,40.14,-103.7,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",1
955435,MORGAN CO.,BRUSH,05/22/2021,1246,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,87,BOU,0,0,Storm Chaser, ,0.01,25,5,SE,5,SE,BRUSH,05/22/2021,1247,40.19,-103.56,40.19,-103.56,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",2
955436,WASHINGTON CO.,MIDWAY,05/22/2021,1302,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,121,BOU,0,0,Storm Chaser, ,0.01,25,1,SW,1,SW,MIDWAY,05/22/2021,1303,40.22,-103.41,40.22,-103.41,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",3
955437,ARAPAHOE CO.,BYERS,05/22/2021,1307,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,5,BOU,0,0,Law Enforcement, ,0.01,25,11,W,11,W,BYERS,05/22/2021,1308,39.73,-104.42,39.73,-104.42,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",4
955438,LOGAN CO.,FLEMING,05/22/2021,1344,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,75,BOU,0,0,Storm Chaser, ,0.01,25,13,SSW,13,SSW,FLEMING,05/22/2021,1345,40.52,-102.96,40.52,-102.96,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",5
955439,LINCOLN CO.,KARVAL,05/22/2021,1455,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,73,BOU,0,0,Storm Chaser, ,0.01,25,11,WSW,11,WSW,KARVAL,05/22/2021,1456,38.68,-103.73,38.68,-103.73,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",6
955440,LINCOLN CO.,KARVAL,05/22/2021,1459,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,73,BOU,0,0,NWS Employee, ,0.01,25,10,W,10,W,KARVAL,05/22/2021,1500,38.73,-103.72,38.73,-103.72,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",7
955441,LINCOLN CO.,PUNKIN CENTER,05/22/2021,1504,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,73,BOU,0,0,Law Enforcement, ,0.01,25,7,SSW,7,SSW,PUNKIN CENTER,05/22/2021,1505,38.81,-103.75,38.81,-103.75,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",8
955442,LINCOLN CO.,PUNKIN CENTER,05/22/2021,1528,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,157779,C,73,BOU,0,0,Trained Spotter, ,0.01,25,7,N,7,N,PUNKIN CENTER,05/22/2021,1530,39,-103.7,39,-103.7,"A tornado touched down briefly in open country.  No damage was observed.","Severe thunderstorms produced several weak tornadoes, along with hail from quarter to ping pong ball size.  Nine short lived landspouts developed across Arapahoe, Lincoln, Logan, Morgan and Washington counties.  All of them touched down in open country and did no damage.",9
955448,LINCOLN CO.,(LIC)LIMON ARPT,05/23/2021,1300,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,158058,C,73,BOU,0,0,Public, ,0.01,25,18,N,18,N,(LIC)LIMON ARPT,05/23/2021,1301,39.54,-103.68,39.54,-103.68,"A tornado touched down in an open field.  No damage was observed.","Severe thunderstorms developed across Lincoln, Logan and Washington counties.  The storms produced damaging thunderstorms wind gusts to 70 mph, hail up to 3 inches in diameter, and 7 brief tornadoes.  Two the tornadoes in Logan County were rated EF1; they knocked down several power poles along State Highway 61 east of Sterling and near Proctor.",10
