"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-26","0.36","71","57"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-27","0.00","73","54"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-28","0.00","76","54"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-29","0.00","78","54"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-30","0.51","68","53"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-10-31","0.00","70","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-01","0.00","73","51"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-02","0.02","75","51"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-03","0.00","76","52"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-04","0.00","75","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-05","0.00","75","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-06","0.00","73","48"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-07","0.00","70","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-08","0.00","72","56"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-09","0.02","66","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-10","0.00","64","42"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-11","0.00","61","43"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-12","0.00","65","44"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-13","0.00","74","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-14","0.00","75","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-15","0.00","81","51"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-16","0.00","79","50"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-17","0.00","77","52"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-18","0.00","73","50"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-19","0.00","73","46"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-20","0.00","76","51"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-21","0.00","75","47"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-22","0.00","78","46"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-23","0.00","81","48"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-24","0.00","78","48"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-25","0.00","78","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-26","0.00","81","48"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-27","0.00","80","50"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-28","0.32","69","53"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-29","0.03","60","49"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-11-30","0.00","70","47"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-01","0.00","74","47"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-02","0.28","59","48"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-03","0.01","61","44"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-04","0.00","65","45"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-05","0.00","56","41"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-06","0.25","44","34"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-07","0.01","51","31"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-08","0.00","58","35"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-09","0.00","57","33"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-10","0.00","63","42"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-11","0.00","61","39"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-12","0.00","66","38"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","1998-12-13","0.00","75","42"
