"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-10","0.00","82","55"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-11","0.00","87","64"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-12","0.00","75","49"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-13",,,
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-14","0.00",,
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-15","0.06","73","49"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-16","0.00","68","51"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-17","0.00","65","42"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-18","0.00","64","34"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-19","0.00","70","41"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-20","0.00","79","52"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-21","0.00","83","47"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-22","0.00","87","52"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-23","0.00","87","57"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-24","0.00","75","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-25","0.00","72","54"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-26","0.03","72","51"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-27","0.93","80","55"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-28","0.10","62","48"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-29","0.43","49","44"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-04-30","0.93","56","43"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-01","0.00","68","49"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-02","0.00","72","49"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-03","0.00","77","44"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-04","0.00","81","48"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-05","0.19","72","56"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-06","0.13","73","62"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-07","0.00","79","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-08","0.00","79","58"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-09","0.00","82","49"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-10","0.00","84","57"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-11","0.00","82","55"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-12","0.00","78","58"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-13","0.01","82","54"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-14","0.02","68","54"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-15","0.00","74","51"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-16","0.00","77","52"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-17","0.00","80","51"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-18","0.05","80","56"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-19","0.08","80","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-20","0.00","79","51"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-21","0.00","83","51"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-22","0.00","85","57"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-23","0.00","88","63"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-24","0.00","85","56"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-25","0.00","84","50"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-26","0.16","73","59"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-27","0.01","78","51"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-28","0.00","82","50"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-29","0.00","86","53"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-30","0.00","86","57"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-05-31","0.00","84","56"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-01","0.00","85","58"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-02","0.00","86","64"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-03","0.00","89","66"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-04","0.00","86","64"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-05","0.00","85","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-06","0.00","88","59"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-07","0.00","92","62"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-08","0.00","94","66"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-09","0.00","96","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-10","1.35","95","67"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-11","0.00","79","66"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-12","0.00","84","63"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-13","0.00","87","57"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-14","0.00","91","63"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-15","0.34","77","68"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-16","0.56","69","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-17","0.01","80","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-18","0.00","78","61"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-19","0.03","78","56"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-20","0.01","66","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-21","0.00","73","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-22","0.00","75","62"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-23","0.00","81","58"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-24","0.03","80","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-25","0.45","81","68"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-26","0.00","87","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-27","0.48","85","72"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-28","0.00","90","73"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-29","0.00","90","72"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-06-30","0.00","86","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-01","0.00","89","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-02","0.00","89","69"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-03","0.00","90","69"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-04","0.00","93","68"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-05","0.00","97","72"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-06","0.00","95","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-07","1.09","91","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-08","0.00","89","68"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-09","0.00","92","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-10","0.73","91","72"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-11","0.11","76","63"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-12","0.31","64","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-13","0.38","66","60"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-14","0.00","76","64"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-15","0.00","84","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-16","0.00","89","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-17","0.00","87","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-18","0.00","91","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-19","0.00","93","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-20","0.00","94","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-21","0.00","94","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-22","0.00","95","73"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-23","0.00","98","75"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-24","0.23","98","72"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-25","0.01","94","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-26","0.00","98","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-27","0.00","95","74"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-28","0.00","98","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-29","0.00","98","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-30","0.00","101","69"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-07-31","0.04","104","75"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-01","0.02","100","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-02","0.00","94","74"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-03","0.00","90","69"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-04","0.00","91","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-05","0.00","94","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-06","0.00","96","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-07","0.01","98","69"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-08","0.13","100","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-09","0.00","88","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-10","0.00","92","69"
