"STATION","NAME","DATE","AWND","DAEV","DASF","DAWM","EVAP","FMTM","MDEV","MDSF","MDWM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-01",,,,,,,,,,,"0.00",,"0.0",,,"33","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-02",,,,,,,,,,,"0.00",,"0.0",,,"34","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-03",,,,,,,,,,,"0.00",,"0.0",,,"36","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-04",,,,,,,,,,,"1.55",,"1.1",,,"38","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-05",,,,,,,,,,,"0.00",,"0.0",,,"26","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-06",,,,,,,,,,,"0.00",,"0.0",,,"40","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-07",,,,,,,,,,,"0.00",,"0.0",,,"36","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-08",,,,,,,,,,,"0.00",,"0.0",,,"40","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-09",,,,,,,,,,,"0.00",,"0.0",,,"38","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-10",,,,,,,,,,,"0.85",,"0.0",,,"39","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-11",,,,,,,,,,,"0.05",,"0.0",,,"46","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-12",,,,,,,,,,,"0.00",,"0.0",,,"48","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-13",,,,,,,,,,,"0.00",,"0.0",,,"61","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-14",,,,,,,,,,,"0.00",,"0.0",,,"42","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-15",,,,,,,,,,,"2.60",,"0.0",,,"43","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-16",,,,,,,,,,,"0.00",,"0.0",,,"44","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-17",,,,,,,,,,,"0.00",,"0.0",,,"46","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-18",,,,,,,,,,,"0.54",,"2.0",,,"41","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-19",,,,,,,,,,,"0.06",,"0.5",,,"42","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-20",,,,,,,,,,,"0.00",,"0.0",,,"39","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-21",,,,,,,,,,,"0.00",,"0.0",,,"40","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-22",,,,,,,,,,,"0.00",,"0.0",,,"50","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-23",,,,,,,,,,,"0.56",,"0.0",,,"44","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-24",,,,,,,,,,,"0.00",,"0.0",,,"38","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-25",,,,,,,,,,,"0.00",,"0.0",,,"38","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-26",,,,,,,,,,,"0.66",,"6.0",,,"34","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-27",,,,,,,,,,,"0.00",,"0.0",,,"31","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
