EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
747442,SANDOVAL CO.,COCHITI PUEBLO,05/21/2018,1435,Tornado, ,EF0,0,0,0,0,NM,MST-7, ,124447,C,43,ABQ,0,0,Trained Spotter, ,3.84,20,6,NNE,3,S,FRIJOLES,05/21/2018,1438,35.69,-106.3,35.74,-106.27,"An observer spotted a funnel cloud near Bandelier National Monument that briefly made contact with the ground as noted by surface dust swirls.","A deep fetch of moisture surged north and west into New Mexico on May 21, 2018 ahead of an upper level low pressure system approaching from Arizona. The combination of strong afternoon heating and moist instability allowed showers and thunderstorms to develop along the Continental Divide during the mid to late morning hours of the 21st. Hail, high winds, and funnel clouds were reported along the Continental Divide before spreading northeastward into the Rio Grande Valley during the early afternoon. A cluster of thunderstorms that developed just southwest of the Albuquerque Metro Area around 3 pm dumped copious amounts of hail and torrential rainfall across the city. Some parts of Albuquerque reported up to one inch of rain in less than 20 minutes. One woman was killed and five others injured when they were swept away in the urban drainage system designed to carry flood waters. These storms shifted east into the high plains of eastern New Mexico through the late afternoon and evening hours with more widespread severe weather. The Raton area also saw copious amounts of hail and heavy rainfall. Lincoln County was particularly hard hit with large hail up to the size of golf balls. Hail accumulated to at least one foot east of Alto as several severe storms moved over the same area. A funnel cloud was also spotted to the northeast of Ruidoso Downs. Heavy rainfall and small hail spread eastward into the plains through the overnight hours where many parts of eastern New Mexico picked up between one and two inches of rainfall.",1
746060,ELBERT CO.,AGATE,05/21/2018,1615,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,124334,C,39,BOU,0,0,Broadcast Media, ,0.01,50,13,WSW,13,WSW,AGATE,05/21/2018,1616,39.4,-104.17,39.4,-104.17,"A small tornado touched down briefly in an open field.  No damage was observed.","An isolated severe thunderstorm produced quarter size hail in northwest Morgan County.  A weak tornado touched down briefly in Elbert County.  No damage was observed.",2
747448,TORRANCE CO.,CEDARVALE,05/21/2018,1850,Tornado, ,EF0,0,0,0,0,NM,MST-7, ,124447,C,57,ABQ,0,0,Storm Chaser, ,0.28,20,3,ENE,4,E,CEDARVALE,05/21/2018,1851,34.38,-105.64,34.3802,-105.6351,"Spotters observed a brief landspout tornado several miles northwest of Corona.","A deep fetch of moisture surged north and west into New Mexico on May 21, 2018 ahead of an upper level low pressure system approaching from Arizona. The combination of strong afternoon heating and moist instability allowed showers and thunderstorms to develop along the Continental Divide during the mid to late morning hours of the 21st. Hail, high winds, and funnel clouds were reported along the Continental Divide before spreading northeastward into the Rio Grande Valley during the early afternoon. A cluster of thunderstorms that developed just southwest of the Albuquerque Metro Area around 3 pm dumped copious amounts of hail and torrential rainfall across the city. Some parts of Albuquerque reported up to one inch of rain in less than 20 minutes. One woman was killed and five others injured when they were swept away in the urban drainage system designed to carry flood waters. These storms shifted east into the high plains of eastern New Mexico through the late afternoon and evening hours with more widespread severe weather. The Raton area also saw copious amounts of hail and heavy rainfall. Lincoln County was particularly hard hit with large hail up to the size of golf balls. Hail accumulated to at least one foot east of Alto as several severe storms moved over the same area. A funnel cloud was also spotted to the northeast of Ruidoso Downs. Heavy rainfall and small hail spread eastward into the plains through the overnight hours where many parts of eastern New Mexico picked up between one and two inches of rainfall.",3
747447,LINCOLN CO.,CORONA FAA AIRPORT,05/21/2018,1907,Tornado, ,EF0,0,0,0,0,NM,MST-7, ,124447,C,27,ABQ,0,0,Trained Spotter, ,2.39,50,9,E,11,E,CORONA FAA AIRPORT,05/21/2018,1910,34.11,-105.52,34.12,-105.48,"Spotters observed a wall cloud consolidate into a funnel then touch down to the surface with light debris and dust swirls for three minutes.","A deep fetch of moisture surged north and west into New Mexico on May 21, 2018 ahead of an upper level low pressure system approaching from Arizona. The combination of strong afternoon heating and moist instability allowed showers and thunderstorms to develop along the Continental Divide during the mid to late morning hours of the 21st. Hail, high winds, and funnel clouds were reported along the Continental Divide before spreading northeastward into the Rio Grande Valley during the early afternoon. A cluster of thunderstorms that developed just southwest of the Albuquerque Metro Area around 3 pm dumped copious amounts of hail and torrential rainfall across the city. Some parts of Albuquerque reported up to one inch of rain in less than 20 minutes. One woman was killed and five others injured when they were swept away in the urban drainage system designed to carry flood waters. These storms shifted east into the high plains of eastern New Mexico through the late afternoon and evening hours with more widespread severe weather. The Raton area also saw copious amounts of hail and heavy rainfall. Lincoln County was particularly hard hit with large hail up to the size of golf balls. Hail accumulated to at least one foot east of Alto as several severe storms moved over the same area. A funnel cloud was also spotted to the northeast of Ruidoso Downs. Heavy rainfall and small hail spread eastward into the plains through the overnight hours where many parts of eastern New Mexico picked up between one and two inches of rainfall.",4
746996,BROWN CO.,BARDWELL,05/21/2018,2104,Tornado, ,EF0,0,0,10000,0,OH,EST-5, ,124321,C,15,ILN,0,0,NWS Storm Survey, ,1.85,75,0,WNW,1,S,UNION PLAINS,05/21/2018,2107,39.053,-83.9283,39.0604,-83.8951,"The  tornado initially touched down on the west side of U.S. Highway 68 near Donley Road where a large tree was snapped and lying across the road. The tornado crossed U.S. Highway 68 causing sporadic tree damage on the east side of the highway. A grove of trees several hundred yards from the road suffered more substantial tree damage with numerous trees either uprooted or snapped. The tornado continued northeast to Hillcrest Road, where a grove of trees on the west side of the road showed sporadic snapped and uprooted trees. A residence on the east side of the road had minor roof damage, a chimney blown off, and several uprooted and snapped trees. The tornado began lifting further to the northeast in the vicinity of Crawford-Day Road, where several trees and large limbs were snapped.","Thunderstorms developed during the late afternoon and evening hours in a warm and unstable air mass that was in place across the region.",5
751578,ELKO CO.,PATSVILLE,05/22/2018,1200,Tornado, ,EF0,0,0,0,0,NV,PST-8, ,125328,C,7,LKN,0,0,Public, ,0.01,10,5,SSE,5,SSE,PATSVILLE,05/22/2018,1201,41.73,-115.92,41.73,-115.92,"The public provided a video showing what appears to be a well developed funnel cloud with a small dust whirl at the base. The tornado was estimated at an elevation around 6500 feet to 7000 feet. Location was estimated based on radar. Due to the remote location of the tornado, no damage was observed or surveyed.","A closed low meandering across northern Nevada on May 22nd, 2018 prodcued weak showers and thunderstorms. One of the stronger thunderstorms produced a weak tornado across northern Elko County.",6
747438,LINCOLN CO.,TINNIE,05/23/2018,1310,Tornado, ,EFU,0,0,0,0,NM,MST-7, ,124450,C,27,ABQ,0,0,Storm Chaser, ,2.22,400,11,SSW,9,S,TINNIE,05/23/2018,1325,33.22,-105.27,33.24,-105.24,"Storm chasers spotted a large wedge tornado on the ground for 15 to 20 minutes southwest of Picacho over rural southeastern Lincoln County. There is no access to this location and the strength of the tornado has been identified as unknown.","For a third day in a row, and potentially the most widespread, severe weather impacted eastern New Mexico on May 23, 2018 as a strong dry line shifted east across the high plains. Showers and thunderstorms fired up just east of the central mountain chain by the mid to late afternoon hours then moved eastward on to the high plains through the early evening. A very impressive supercell storm over far southwestern Chaves County produced two tornadoes and large hail. Other storms in the area also produced severe hail and funnel clouds before merging into a large cluster of strong storms near Roswell. Another very impressive, long duration supercell storm over western San Miguel County produced torrential rainfall, flooding, high winds, and very large hail near Tecolotito and Anton Chico. Several other storms across the eastern plains were strong to severe with heavy rain, hail, and high winds.",7
747439,LINCOLN CO.,PICACHO,05/23/2018,1406,Tornado, ,EF0,0,0,0,0,NM,MST-7, ,124450,C,27,ABQ,0,0,Storm Chaser, ,4.05,200,14,SSW,13,S,PICACHO,05/23/2018,1420,33.16,-105.24,33.16,-105.17,"A second thunderstorm southwest of Picacho produced what another tornado within rural southeastern Lincoln County.","For a third day in a row, and potentially the most widespread, severe weather impacted eastern New Mexico on May 23, 2018 as a strong dry line shifted east across the high plains. Showers and thunderstorms fired up just east of the central mountain chain by the mid to late afternoon hours then moved eastward on to the high plains through the early evening. A very impressive supercell storm over far southwestern Chaves County produced two tornadoes and large hail. Other storms in the area also produced severe hail and funnel clouds before merging into a large cluster of strong storms near Roswell. Another very impressive, long duration supercell storm over western San Miguel County produced torrential rainfall, flooding, high winds, and very large hail near Tecolotito and Anton Chico. Several other storms across the eastern plains were strong to severe with heavy rain, hail, and high winds.",8
758200,DAWSON CO.,GLENDIVE DAWSON ARPT,05/23/2018,1842,Tornado, ,EF0,0,0,0,0,MT,MST-7, ,124363,C,21,GGW,0,0,NWS Employee, ,0.28,10,4,W,4,W,GLENDIVE DAWSON ARPT,05/23/2018,1843,47.14,-104.89,47.1378,-104.885,"Off duty NWS employee observed this brief rope tornado northwest of Glendive. Photos sent in using social media.","A warm front moving generally across eastern Montana, in conjunction with an upper level low centered over south central Montana and northwestern Wyoming, produced enough instability and lift to produce severe thunderstorms across northeast Montana. These produced locally heavy rainfall, a few produced large hail, and one produced a weak, short-lived tornado.",9
754832,WAYNE CO.,SCREVAN,05/24/2018,1715,Tornado, ,EF0,0,0,0,0,GA,EST-5, ,125892,C,305,JAX,0,0,Emergency Manager, ,0.1,20,3,NNW,3,NNW,SCREVAN,05/24/2018,1715,31.52,-82.05,31.52,-82.05,"EM did a storm survey and confirmed EF0 tornado damage near Burch Farms and Dixie Road in Screven. Several videos of tornado via Wayne County EM Facebook page. A couple of homes had damage, no injuries reported.  The path length and width were unknown but estimated for inclusion of the event in Storm Data.","East coast sea breeze storms moved inland an converged with high instability and inflow which cause a brief, weak EF0 landspout to form NW of Screven.",10
