EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5294525,CERRO GORDO CO.,ROCKWELL,06/21/2002,1218,Tornado, ,F1,0,0,0,5000,IA,CST, ,1135328,C,33,DMX,0,0,TRAINED SPOTTER, ,5,40,4,SE,4,SE,ROCKWELL,06/21/2002,1228,42.95,-93.13333,42.88333,-93.05,"Intermittent track.  Moved into Butler County.","A thunderstorm complex moved east across southern Minnesota during the day on the 21st.  The outflow boundary from the complex progressed into northern Iowa to join with a warm frontal boundary lifting north across the state.  The airmass was very stable to the south of the boundary with temperatures in the mid 80s to low 90s, and dew point temperatures in the low 70s to near 80.  CAPE values were in the 5600 J/kg range by early afternoon.  A lone thunderstorm cell formed in north central Iowa just southeast of Mason City.  The storm became severe and produced a tornado southeast of Rockwell.  The tornado moved southeast at first while the storm intensified, then turned east as it entered Butler County.  The track of the tornado was across open country and as a result there was little more than crop damage from it.  Spotter and Sheriff reports indicated the tornado was on the ground intermittently.  Much of the time the condensation funnel was not in clear contact with the ground, however it would appear the strength of the tornado can be inferred from the length of the track, spotter reports, and radar presentation.  Speaking to trained spotters that were on the site indicated the tornado supercell was a CLOCKWISE rotating supercell.",1
5294526,BUTLER CO.,GREENE,06/21/2002,1228,Tornado, ,F1,0,0,0,10000,IA,CST, ,1135328,C,23,DMX,0,0,TRAINED SPOTTER, ,7,40,10,W,10,W,GREENE,06/21/2002,1242,42.9,-93,42.9,-92.88333,"Intermittent track.  Moved in from Cerro Gordo County.","A thunderstorm complex moved east across southern Minnesota during the day on the 21st.  The outflow boundary from the complex progressed into northern Iowa to join with a warm frontal boundary lifting north across the state.  The airmass was very stable to the south of the boundary with temperatures in the mid 80s to low 90s, and dew point temperatures in the low 70s to near 80.  CAPE values were in the 5600 J/kg range by early afternoon.  A lone thunderstorm cell formed in north central Iowa just southeast of Mason City.  The storm became severe and produced a tornado southeast of Rockwell.  The tornado moved southeast at first while the storm intensified, then turned east as it entered Butler County.  The track of the tornado was across open country and as a result there was little more than crop damage from it.  Spotter and Sheriff reports indicated the tornado was on the ground intermittently.  Much of the time the condensation funnel was not in clear contact with the ground, however it would appear the strength of the tornado can be inferred from the length of the track, spotter reports, and radar presentation.  Speaking to trained spotters that were on the site indicated the tornado supercell was a CLOCKWISE rotating supercell.",2
5305702,CHICKASAW CO.,IONIA,06/21/2002,1715,Tornado, ,F0,0,0,0,0,IA,CST, ,1138081,C,37,ARX,0,0,LAW ENFORCEMENT, ,.5,30,2,NW,2,NW,IONIA,06/21/2002,1718,43.05,-92.5,43.05,-92.48333,"","Law enforcement officials observed a brief tornado touchdown along Highway 18 near Ionia (Chickasaw County).  There was no damage reported with the storm.  The public also reported hail the size of quarters and golf balls.",3
5305898,PETROLEUM CO.,WINNETT,06/22/2002,1330,Tornado, ,F0,0,0,0,0,MT,MST, ,1138095,C,69,GGW,0,0,TRAINED SPOTTER, ,.1,50,15,SE,15,SE,WINNETT,06/22/2002,1333,46.85,-108.13333,46.85,-108.13333,"Brief tornado touch down reported by spotter 15 SE Winnett.","",4
5300957,MARION CO.,MARION OAKS,06/22/2002,1400,Tornado, ,F0,0,0,2000,0,FL,EST, ,1137035,C,83,JAX,0,0,EMERGENCY MANAGER, ,.1,.1, , , , ,MARION OAKS,06/22/2002,1400,29,-82.18333,29,-82.18333,"Trees snapped and twisted. Numerous trees down.","",5
5306192,MCPHERSON CO.,LEOLA,06/23/2002,1820,Tornado, ,F0,0,0,0,0,SD,CST, ,1138013,C,89,ABR,0,0,STORM CHASER, ,.2,50,6,NE,6,NE,LEOLA,06/23/2002,1822,45.78333,-98.85,45.78333,-98.85,"","A powerful supercell thunderstorm produced six tornados from eastern McPherson county and across northern Brown county during the evening hours of June 23rd.  The first weak tornado (F0) touched down briefly 6.4 miles northeast of Leola and resulted in no damage.  The second tornado (F1) touched down 8.5 miles northeast of Leola and crossed over into Brown county where it dissipated 9 miles northwest of Barnard. This tornado brought down many trees and a barn and caused damage to the siding and the roof of a farmhouse in McPherson county and caused no damage in Brown county.  A third weak satellite tornado (F0) occurred following the dissipation of the second tornado and resulted in no damage.  A fourth strong tornado (F3) developed 6 miles west of Barnard and moved east and dissipated 3 miles southeast of Barnard.  This tornado brought down some high power lines along with a support tower and tossed a pickup truck 100 yards into a group of trees.  The pickup truck was totaled.  The tornado caused extensive damage to two farmhouses, several farm buildings, and farm equipment.  One farmhouse lost its garage and most of its roof with many trees completely snapped off down low and debarked.  The fifth tornado developed 5 miles southeast of Barnard and became a violent tornado (F4).  This tornado caused damage to one farmhouse, several outbuildings, trees, and equipment as it moved northeast and strengthened.  The tornado then completely demolished two unoccupied homes, several outbuildings, many trees, along with destroying or damaging some farm equipment before dissipating 7.6 miles northeast of Barnard.  Also, a sixth weak satellite tornado (F0) occurred with this violent tornado and caused no damage.  This was the first F4 tornado recorded in Brown county and one of few recorded in South Dakota.  The total estimated property loss exceeded a million dollars.",6
5306193,MCPHERSON CO.,LEOLA,06/23/2002,1834,Tornado, ,F1,0,0,0,0,SD,CST, ,1138013,C,89,ABR,0,0,NWS STORM SURVEY, ,2,500,9,NE,9,NE,LEOLA,06/23/2002,1840,45.8,-98.83333,45.81667,-98.8,"","A powerful supercell thunderstorm produced six tornados from eastern McPherson county and across northern Brown county during the evening hours of June 23rd.  The first weak tornado (F0) touched down briefly 6.4 miles northeast of Leola and resulted in no damage.  The second tornado (F1) touched down 8.5 miles northeast of Leola and crossed over into Brown county where it dissipated 9 miles northwest of Barnard. This tornado brought down many trees and a barn and caused damage to the siding and the roof of a farmhouse in McPherson county and caused no damage in Brown county.  A third weak satellite tornado (F0) occurred following the dissipation of the second tornado and resulted in no damage.  A fourth strong tornado (F3) developed 6 miles west of Barnard and moved east and dissipated 3 miles southeast of Barnard.  This tornado brought down some high power lines along with a support tower and tossed a pickup truck 100 yards into a group of trees.  The pickup truck was totaled.  The tornado caused extensive damage to two farmhouses, several farm buildings, and farm equipment.  One farmhouse lost its garage and most of its roof with many trees completely snapped off down low and debarked.  The fifth tornado developed 5 miles southeast of Barnard and became a violent tornado (F4).  This tornado caused damage to one farmhouse, several outbuildings, trees, and equipment as it moved northeast and strengthened.  The tornado then completely demolished two unoccupied homes, several outbuildings, many trees, along with destroying or damaging some farm equipment before dissipating 7.6 miles northeast of Barnard.  Also, a sixth weak satellite tornado (F0) occurred with this violent tornado and caused no damage.  This was the first F4 tornado recorded in Brown county and one of few recorded in South Dakota.  The total estimated property loss exceeded a million dollars.",7
5306194,BROWN CO.,BARNARD,06/23/2002,1840,Tornado, ,F1,0,0,0,0,SD,CST, ,1138013,C,13,ABR,0,0,NWS STORM SURVEY, ,3,500,11,NW,11,NW,BARNARD,06/23/2002,1843,45.85,-98.66667,45.83333,-98.63333,"","A powerful supercell thunderstorm produced six tornados from eastern McPherson county and across northern Brown county during the evening hours of June 23rd.  The first weak tornado (F0) touched down briefly 6.4 miles northeast of Leola and resulted in no damage.  The second tornado (F1) touched down 8.5 miles northeast of Leola and crossed over into Brown county where it dissipated 9 miles northwest of Barnard. This tornado brought down many trees and a barn and caused damage to the siding and the roof of a farmhouse in McPherson county and caused no damage in Brown county.  A third weak satellite tornado (F0) occurred following the dissipation of the second tornado and resulted in no damage.  A fourth strong tornado (F3) developed 6 miles west of Barnard and moved east and dissipated 3 miles southeast of Barnard.  This tornado brought down some high power lines along with a support tower and tossed a pickup truck 100 yards into a group of trees.  The pickup truck was totaled.  The tornado caused extensive damage to two farmhouses, several farm buildings, and farm equipment.  One farmhouse lost its garage and most of its roof with many trees completely snapped off down low and debarked.  The fifth tornado developed 5 miles southeast of Barnard and became a violent tornado (F4).  This tornado caused damage to one farmhouse, several outbuildings, trees, and equipment as it moved northeast and strengthened.  The tornado then completely demolished two unoccupied homes, several outbuildings, many trees, along with destroying or damaging some farm equipment before dissipating 7.6 miles northeast of Barnard.  Also, a sixth weak satellite tornado (F0) occurred with this violent tornado and caused no damage.  This was the first F4 tornado recorded in Brown county and one of few recorded in South Dakota.  The total estimated property loss exceeded a million dollars.",8
5306195,BROWN CO.,BARNARD,06/23/2002,1843,Tornado, ,F0,0,0,0,0,SD,CST, ,1138013,C,13,ABR,0,0,STORM CHASER, ,.3,50,9,NW,9,NW,BARNARD,06/23/2002,1845,45.83333,-98.63333,45.83333,-98.63333,"","A powerful supercell thunderstorm produced six tornados from eastern McPherson county and across northern Brown county during the evening hours of June 23rd.  The first weak tornado (F0) touched down briefly 6.4 miles northeast of Leola and resulted in no damage.  The second tornado (F1) touched down 8.5 miles northeast of Leola and crossed over into Brown county where it dissipated 9 miles northwest of Barnard. This tornado brought down many trees and a barn and caused damage to the siding and the roof of a farmhouse in McPherson county and caused no damage in Brown county.  A third weak satellite tornado (F0) occurred following the dissipation of the second tornado and resulted in no damage.  A fourth strong tornado (F3) developed 6 miles west of Barnard and moved east and dissipated 3 miles southeast of Barnard.  This tornado brought down some high power lines along with a support tower and tossed a pickup truck 100 yards into a group of trees.  The pickup truck was totaled.  The tornado caused extensive damage to two farmhouses, several farm buildings, and farm equipment.  One farmhouse lost its garage and most of its roof with many trees completely snapped off down low and debarked.  The fifth tornado developed 5 miles southeast of Barnard and became a violent tornado (F4).  This tornado caused damage to one farmhouse, several outbuildings, trees, and equipment as it moved northeast and strengthened.  The tornado then completely demolished two unoccupied homes, several outbuildings, many trees, along with destroying or damaging some farm equipment before dissipating 7.6 miles northeast of Barnard.  Also, a sixth weak satellite tornado (F0) occurred with this violent tornado and caused no damage.  This was the first F4 tornado recorded in Brown county and one of few recorded in South Dakota.  The total estimated property loss exceeded a million dollars.",9
5306196,BROWN CO.,BARNARD,06/23/2002,1853,Tornado, ,F3,0,0,0,0,SD,CST, ,1138013,C,13,ABR,0,0,NWS STORM SURVEY, ,10,900,6,W,6,W,BARNARD,06/23/2002,1923,45.73333,-98.61667,45.7,-98.45,"","A powerful supercell thunderstorm produced six tornados from eastern McPherson county and across northern Brown county during the evening hours of June 23rd.  The first weak tornado (F0) touched down briefly 6.4 miles northeast of Leola and resulted in no damage.  The second tornado (F1) touched down 8.5 miles northeast of Leola and crossed over into Brown county where it dissipated 9 miles northwest of Barnard. This tornado brought down many trees and a barn and caused damage to the siding and the roof of a farmhouse in McPherson county and caused no damage in Brown county.  A third weak satellite tornado (F0) occurred following the dissipation of the second tornado and resulted in no damage.  A fourth strong tornado (F3) developed 6 miles west of Barnard and moved east and dissipated 3 miles southeast of Barnard.  This tornado brought down some high power lines along with a support tower and tossed a pickup truck 100 yards into a group of trees.  The pickup truck was totaled.  The tornado caused extensive damage to two farmhouses, several farm buildings, and farm equipment.  One farmhouse lost its garage and most of its roof with many trees completely snapped off down low and debarked.  The fifth tornado developed 5 miles southeast of Barnard and became a violent tornado (F4).  This tornado caused damage to one farmhouse, several outbuildings, trees, and equipment as it moved northeast and strengthened.  The tornado then completely demolished two unoccupied homes, several outbuildings, many trees, along with destroying or damaging some farm equipment before dissipating 7.6 miles northeast of Barnard.  Also, a sixth weak satellite tornado (F0) occurred with this violent tornado and caused no damage.  This was the first F4 tornado recorded in Brown county and one of few recorded in South Dakota.  The total estimated property loss exceeded a million dollars.",10
