EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5509457,ROCKINGHAM CO.,HAMPTON FALLS,05/21/2006,1645,Tornado, ,F2,0,2,3000,0,NH,EST, ,1210629,C,15,GYX,0,0,NWS STORM SURVEY, ,.1,20, , , , ,HAMPTON FALLS,05/21/2006,1646,42.91667,-70.85,42.91667,-70.85,"","A small, but rather intense, tornado touched down on Interstate 95 about two miles south of the Hampton Toll Booths in the town of Hampton Falls.  While several funnel clouds were observed over southeastern New Hampshire that Sunday evening, the actual tornado touched down just as one of the funnel clouds approached I-95.  The tornado then lifted off the ground about 100 yards after crossing I-95.  The most significant damage was to a truck parked along the side of the highway.  The trucked was lifted off the ground briefly by the tornado, thrown about 10 feet, landed on the passenger side, and then rolled 1 1/4 times ending up on its roof.  Two men were in the truck at the time and were taken to a nearby hospital for treatment.  After interviews with the occupants and eyewitness reports which indicated that the vehicle was lifted into the air, the tornado intensity was classified as F2 on the Fujita scale.  These reports were consistent with the ground-based assessment.",1
5509752,GALVESTON CO.,SANTA FE,05/22/2006,645,Tornado, ,F0,0,0,7000,0,TX,CST, ,1210641,C,167,HGX,0,0,LAW ENFORCEMENT, ,.2,20, , , , ,SANTA FE,05/22/2006,647,29.36667,-95.08333,29.36667,-95.08333,"Tornado damaged a home porch.","",2
5510452,MONTGOMERY CO.,FARMERSVILLE,05/24/2006,1505,Tornado, ,F1,0,0,100000,0,IL,CST, ,1210526,C,135,LSX,0,0,NWS STORM SURVEY, ,2.4,150,5,ENE,5,ENE,FARMERSVILLE,05/24/2006,1510,39.46667,-89.56667,39.43333,-89.53333,"A tornado touched down 4.6 miles east northeast of Farmersville (Montgomery County in St. Louis CWA).  It traveled to the southeast destroying one machine shed and damaging three other machine sheds.  Two barns and two homes sustained damage as well.  Debris from the machine sheds were tossed a quarter of a mile downwind from their initial locations. The tornado then crossed into Christian County (Central Illinois's CWA) south of the intersection of  3050N and the county line.  No injuries were reported.","",3
5510488,CHRISTIAN CO.,MORRISONVILLE,05/24/2006,1510,Tornado, ,F0,0,0,0,0,IL,CST, ,1210757,C,21,ILX,0,0,NWS STORM SURVEY, ,1.4,100,5,WNW,5,WNW,MORRISONVILLE,05/24/2006,1512,40.68333,-89.93333,40.68333,-89.93333,"The tornado entered the county from Montgomery County (WFO St Louis).  The tornado destroyed a corn crib at a farm and caused significant roof damage to an outbuilding at the farm and a nearby home.  A few trees were also snapped off.","",4
5502658,RICHLAND CO.,RICHLAND CENTER,05/24/2006,1557,Tornado, ,F0,0,0,4500,0,WI,CST, ,1209202,C,103,ARX,0,0,NWS STORM SURVEY, ,1,15,2,S,2,S,RICHLAND CENTER,05/24/2006,1603,43.3,-90.38333,43.3,-90.38333,"","A small tornado touched down briefly near Richland Center (Richland County) producing minor damage to sheds, outbuildings and trees. Elsewhere around southwest Wisconsin, law enforcement officials and the public reported penny to quarter size hail.  In addition, wind gusts were estimated up to 65 mph near Richland Center.  Near Keyesville (Richland County), winds estimated at 60 mph blew the roof off a barn.",5
5510449,MADISON CO.,(ALN)STL RGNL ARPT A,05/24/2006,1610,Tornado, ,F0,0,0,20000,0,IL,CST, ,1210523,C,119,LSX,0,0,NEWSPAPER, ,.2,50,3,ESE,3,ESE,(ALN)STL RGNL ARPT A,05/24/2006,1611,38.88333,-90,38.88333,-90,"A brief tornado destroyed a 60 foot by 105 foot barn along Buchta Road west of Illinois Route 159. Witnesses reported seeing a funnel about 50 feet in the air coming across the property. The building was lifted completely off the ground and then dropped.","",6
5509918,KANKAKEE CO.,AROMA PARK,05/24/2006,1620,Tornado, ,F1,0,0,75000,0,IL,CST, ,1210466,C,91,LOT,0,0,NWS STORM SURVEY, ,1.5,50,3,S,3,S,AROMA PARK,05/24/2006,1620,41.03333,-87.8,41.05,-87.76667,"The tornado began near Sugar Island at 6000 South and about 3000 East and appears to have ended near 5500 South and 4500 East.  The tornado path was embedded in a half mile wide swath of tree limb damage.  In the narrow tornado path, more concentrated damage occurred.  A large healthy tree was uprooted and other trees had large limbs blown down.  Barn roofs were ripped off.  A large machine shed was completely destroyed.  Wood supports were pulled from the ground, two by fours were snapped and a large steel beam was thrown into a nearby barn.  Pieces of metal roof and siding were blown a mile downstream.  A camper was rolled over.","",7
5510487,COLES CO.,COOKS MILLS,05/24/2006,1635,Tornado, ,F0,0,0,0,0,IL,CST, ,1210757,C,29,ILX,0,0,EMERGENCY MANAGER, ,.2,50,2,W,2,W,COOKS MILLS,05/24/2006,1635,40.68333,-89.8,40.68333,-89.8,"The tornado briefly touched down in a field.  No damage was reported.","",8
5510523,BOND CO.,GREENVILLE,05/24/2006,1651,Tornado, ,F0,0,0,0,0,IL,CST, ,1210536,C,5,LSX,0,0,NWS STORM SURVEY, ,1.3,100,5,N,5,N,GREENVILLE,05/24/2006,1652,38.96667,-89.31667,38.96667,-89.28333,"The first tornado touched down 5 miles north of Greenville, southwest of the intersection of Red Ball Trail and Hastings Cemetery Avenue, just north of Peach Avenue.  It blew down several large trees. Three of the trees fell onto a home causing extensive damage.  As it traveled to the east it destroyed a machine shed before lifting and dissipating.  No injuries were reported.","",9
5505555,SAUK CO.,DEVILS LAKE,05/24/2006,1653,Tornado, ,F0,0,0,0,0,WI,CST, ,1210342,C,111,MKX,0,0,TRAINED SPOTTER, ,.1,20,5,SSW,5,SSW,DEVILS LAKE,05/24/2006,1653,43.03333,-90.21667,43.03333,-90.21667,"A brief tornado spun up 4.5 miles southwest of Devils Lake and did no damage.  The tornado was rated an F0.","A broken like of thunderstorms developed ahead of a cold front headed into western Wisconsin during the late afternoon hours.  With a moderately unstable airmass and decent directional shear, some storms took on supercellular characteristics.  One such storm produced a tornado in Sauk County, 4.5 miles south-southwest of Devils Lake, just west of STH 12 on the west side of the Badger Army Amo Plant, in the Bluffview area.  The tornado was brief and weak. No significant damage was noted.  The line progressed east across most of southern Wisconsin during the early evening, producing areas of large hail and damaging straight-line winds which uprooted large trees or broke large tree branches out of trees.  In Rock County, scattered large trees were uprooted, which in turn blocked several roads.  About a half-dozen homes were lightly damaged due to trees or tree branches crashing down on them.  Heavy rainfall in the Madison area led to urban-type flooding.  Lightning strikes and/or tree limbs hitting power lines resulted in about 2900 customers losing electrical power, mostly in the Fort Atkinson (Jefferson Co.) and Delafield (Waukesha Co.) areas.",10
