EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5255013,PASCO CO.,WESLEY CHAPEL,06/21/2001,1625,Tornado, ,F0,0,0,100000,0,FL,EST, ,1117629,C,101,TBW,0,0,EMERGENCY MANAGER, ,.5,15,3,WNW,3,WNW,WESLEY CHAPEL,06/21/2001,1628,28.25,-82.36667,28.25,-82.36667,"Pasco county emergency management reported that a F0 tornado touched down on the greens of the Quail Hollow Golf & Country Club near Golf Course Loop.  The tornado moved west and caused minor roof and tile damage to sixteen homes and uprooted a few small trees along Country Club Road and Angus Valley Drive before it lifted and dissipated along Saddletree Drive.","",1
5248281,GREENE CO.,OWENSBURG,06/21/2001,1909,Tornado, ,F0,0,0,30000,0,IN,EST, ,1115474,C,55,IND,0,0,EMERGENCY MANAGER, ,.1,50,2,S,2,S,OWENSBURG,06/21/2001,1909,38.9,-86.75,38.9,-86.75,"A weak tornado briefly touched down and caused roof and wall damage to a single house.","",2
5253453,LANCASTER CO.,WHITE HORSE,06/22/2001,1635,Tornado, ,F0,0,0,5000,0,PA,EST, ,1117200,C,71,CTP,0,0,EMERGENCY MANAGER, ,.2,50, , , , ,WHITE HORSE,06/22/2001,1700,40.03333,-76,40.03333,-76,"An F0 tornado touched down in the town of White Haven at 17:35.  The tornado's damage was confined to trees and a cornfield.","",3
5251079,BROWARD CO.,PEMBROKE PINES,06/23/2001,1215,Tornado, ,F1,0,0,150000,0,FL,EST, ,1116386,C,11,MFL,0,0,BROADCAST MEDIA, ,1.5,15, , , , ,PEMBROKE PINES,06/23/2001,1218,26.05,-80.16667,26.05,-80.16667,"","A tornado touched down in Pembroke Pines near Flamingo Road and Taft Street and move east  for about a mile and a half.  Twenty houses along the path suffered mostly minor roof damage.  Several trees were uprooted and fences were damaged.  Dime-size hail was reported in Cooper City.",4
5252581,LITCHFIELD CO.,WASHINGTON,06/23/2001,1300,Tornado, ,F1,0,1,150000,0,CT,EST, ,1117339,C,5,ALY,0,0,TRAINED SPOTTER, ,1,50, , , , ,WASHINGTON,06/23/2001,1303,41.61667,-73.31667,41.61667,-73.31667,"","	A warm front, moving into Connecticut, produced a line of showers and isolated thunderstorms during the early afternoon of June 23. One cell developed into a supercell which then spawned two tornados in Litchfield County. The first tornado touched down in the northern end of  the town of Washington, on a golf course near Lake Waramaug, cutting a path 50 yards wide and a mile in length. It hit during a lull of a golf tornament that was going on there, damaging the fourth hole of the course as well as destroying a metal fence around a tennis court. This tornado also demolished a storage building. This was ranked as an F1 Tornado, with winds estimated between 75 and 100 mph, by National Weather Service Personnel. The tornado also took out many trees around this area. The tornado lifted back up, but then reformed from the cell as the storm moved into the cities of Torrington and Winstead. This second tornado was ranked on the Fujita scale as an F2 with winds estimated between 100 and 130 mph. It touched down near the Torrington Middle School, over the Midget Football Field cutting a swath two hundred yards wide and a half a mile in length. The tornado destroyed an 8,000 dollar shed that had recently been completed by the Midget Football League. The second twister also demolished the  bleachers and part of a roof at the Torrington Middle school. In addition, hundreds of large trees were uprooted. Powerlines were also destroyed. One person was injured when a portion of the blown off roof fell on him, resulting in bone fractures.",5
5252582,LITCHFIELD CO.,TORRINGTON,06/23/2001,1350,Tornado, ,F2,0,0,250000,0,CT,EST, ,1117339,C,5,ALY,0,0,TRAINED SPOTTER, ,.5,200, , , , ,TORRINGTON,06/23/2001,1350,41.8,-73.11667,41.8,-73.11667,"","	A warm front, moving into Connecticut, produced a line of showers and isolated thunderstorms during the early afternoon of June 23. One cell developed into a supercell which then spawned two tornados in Litchfield County. The first tornado touched down in the northern end of  the town of Washington, on a golf course near Lake Waramaug, cutting a path 50 yards wide and a mile in length. It hit during a lull of a golf tornament that was going on there, damaging the fourth hole of the course as well as destroying a metal fence around a tennis court. This tornado also demolished a storage building. This was ranked as an F1 Tornado, with winds estimated between 75 and 100 mph, by National Weather Service Personnel. The tornado also took out many trees around this area. The tornado lifted back up, but then reformed from the cell as the storm moved into the cities of Torrington and Winstead. This second tornado was ranked on the Fujita scale as an F2 with winds estimated between 100 and 130 mph. It touched down near the Torrington Middle School, over the Midget Football Field cutting a swath two hundred yards wide and a half a mile in length. The tornado destroyed an 8,000 dollar shed that had recently been completed by the Midget Football League. The second twister also demolished the  bleachers and part of a roof at the Torrington Middle school. In addition, hundreds of large trees were uprooted. Powerlines were also destroyed. One person was injured when a portion of the blown off roof fell on him, resulting in bone fractures.",6
5250325,HARTFORD CO.,EAST HARTLAND,06/23/2001,1418,Tornado, ,F0,0,0,20000,0,CT,EST, ,1116137,C,3,BOX,0,0,NWS STORM SURVEY, ,.3,80, , , , ,EAST HARTLAND,06/23/2001,1418,42,-72.9,42,-72.9,"Brief F0 touchdown","An isolated severe thunderstorm, which had a history of producing two tornadoes in northwest Connecticut, also produced a brief F0 tornado as it clipped the extreme northwest portion of Hartford County.  The touchdown occurred in East Hartland, where a ground survey indicated a path length of about one-third of a mile and a width of 80 yards.  Wind speeds were estimated to have been near 70 mph.  

The fire department in East Hartland reported 8 to 9 inch diameter limbs blown down along Route 179.  An antenna was blown off the off of the fire station, and two windows were blown out of the fire house door.  A flag pole was picked up and landed in a tree.  One eyewitness saw wooden stakes lifted out of a truck, which were swirling in the air.  Another person saw large branches rotating in mid air.   No injuries were reported.",7
5251151,BREVARD CO.,CAPE CANAVRAL MISL S,06/24/2001,1330,Tornado, ,F0,0,0,0,0,FL,EST, ,1116398,C,9,MLB,0,0,OTHER FEDERAL AGENCY, ,.2,30,1,W,1,W,CAPE CANAVRAL MISL S,06/24/2001,1330,28.48333,-80.56667,28.48333,-80.56667,"An F0 tornado touched down briefly in an undeveloped area west of the Space Shuttle launch facility. No damage was reported.","",8
5251150,INDIAN RIVER CO.,SEBASTIAN,06/24/2001,1345,Tornado, ,F1,0,0,200000,0,FL,EST, ,1116397,C,61,MLB,0,0,NWS STORM SURVEY, ,2,.5, , , , ,SEBASTIAN,06/24/2001,1345,27.81667,-80.46667,27.81667,-80.46667,"An F1 tornado touched down in the western part of Sebastian and moved southeast along a 2 mile path through the town.  It blew down numerous trees, damaged roofs, destroyed pool screens, and sheds.  The garage door was blown in and one fourth of the roof was blown off of one house.","",9
5246332,RENVILLE CO.,SHERWOOD,06/24/2001,2109,Tornado, ,F0,0,0,0,0,ND,CST, ,1115342,C,75,BIS,0,0,GENERAL PUBLIC, ,2,40,5,E,5,E,SHERWOOD,06/24/2001,2125,48.96667,-101.5,48.96667,-101.46667,"The tornado moved slowly east reaching the Bottineau county line around 925 pm cst. The tornado skipped over the open country side.","",10
