"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-04","0.00","109","65"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-05","0.00","108","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-06","0.00","104","82"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-07","0.00","105","76"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-08","0.00","96","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-09","0.00","92","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-10","0.00","91","58"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-11","0.00","96","65"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-12","0.03","88","67"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-13","0.34","78","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-14","0.00","91","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-15","0.10","89","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-16","0.00","88","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-17","0.00","88","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-18","0.00","93","67"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-19","0.00","94","71"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-20","0.00","97","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-21","0.02","98","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-22","0.36","71","61"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-23","0.00","79","62"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-24","0.00","93","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-25","0.00","94","76"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-26","0.00","91","74"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-27","0.00","94","72"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-28","0.00","94","69"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-29","0.00","95","71"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-09-30","0.07","96","71"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-01","1.19","71","56"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-02","1.01","73","56"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-03","0.00","73","61"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-04","0.84","86","66"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-05","3.22","74","53"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-06",,,
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-07","0.00",,
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-08","0.01","75","46"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-09","0.00","78","50"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-10","0.00","78","56"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-11","0.00","81","57"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-12","0.00","77","58"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-13","0.01","81","58"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-14","0.00","82","64"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-15","0.00","81","64"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-16","0.43","78","68"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-17","2.67","76","55"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-18","0.00","67","46"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-19","0.01","72","45"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-20","0.10","57","49"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-21","0.01","66","45"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-22","0.00","66","39"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-23","0.00","65","45"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-24","0.00","68","48"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-25","0.00","76","53"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-26","0.00","79","59"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-27","0.00","80","62"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-28","0.50","79","63"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-29","0.00","76","53"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-30","1.90","63","53"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-10-31","2.17","69","56"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-01","7.73","57","50"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-02","0.07","57","50"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-03","0.03","53","45"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-04","0.00","46","42"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-05","0.00","45","41"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-06","0.00","48","39"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-07","0.52","51","46"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-08","0.00","53","48"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-09","0.30","71","48"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-10","0.00","56","37"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-11","0.00","62","39"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-12","0.00","58","45"
