EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
513817,TORRANCE CO.,MORIARTY,06/21/2014,1228,Tornado, ,EF0,0,0,0,0,NM,MST-7, ,85084,C,57,ABQ,0,0,NWS Employee, ,0.1,30,3,NNW,3,NNW,MORIARTY,06/21/2014,1238,35.0401,-106.0703,35.0401,-106.0703,"Landspout tornado just north of Interstate 40 near Moriarty on the ground for approximately 10 minutes.  No damage reported.","Isolated thunderstorms that developed along the east slopes of the Sandia and Manzano Mountains early in the afternoon on the 21st pushed eastward and strengthened over the high plains.  One storm near Moriarty was able to produce a landspout tornado for about 10 minutes to the north of Interstate 40.  Another storm around Pastura produced quarter size hail. No damage was reported with these storms.",1
525887,ADAMS CO.,BARR LAKE,06/21/2014,1336,Tornado, ,EF1,0,0,0,0,CO,MST-7, ,87132,C,1,BOU,0,0,Law Enforcement, ,0.25,100,8,ENE,8,ENE,BARR LAKE,06/21/2014,1342,40,-104.64,40,-104.64,"A tornado touched down and damaged some out buildings and a storage shed.  Minor roof damage to houses in the immediate area was reported near 168th Ave and Haymont Rd.","Three small landspouts touched down; one produced minor damage.",2
525883,ADAMS CO.,DENVER FRONT RANGE A,06/21/2014,1342,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,87132,C,1,BOU,0,0,Airplane Pilot, ,0.1,50,3,WNW,3,WNW,DENVER FRONT RANGE A,06/21/2014,1345,39.8,-104.59,39.8,-104.59,"A tornado touched down in an open field; no damage was observed.","Three small landspouts touched down; one produced minor damage.",3
525884,ADAMS CO.,BENNETT,06/21/2014,1411,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,87132,C,1,BOU,0,0,Public, ,0.1,50,4,N,4,N,BENNETT,06/21/2014,1411,39.8,-104.42,39.8,-104.42,"A tornado touched down in an open field; no damage was observed.","Three small landspouts touched down; one produced minor damage.",4
534829,HAMILTON CO.,SYRACUSE,06/21/2014,1643,Tornado, ,EF0,0,0,0,0,KS,MST-7, ,88687,C,75,DDC,0,0,Public, ,0.49,25,6,N,6,N,SYRACUSE,06/21/2014,1645,38.07,-101.75,38.0704,-101.741,"This was a brief tornado that did not hit anything.","Severe thunderstorms produced marginally severe hail during the early evening.",5
529813,DEWEY CO.,WHITEHORSE,06/21/2014,1745,Tornado, ,EF0,0,0,0,0,SD,MST-7, ,87747,C,41,ABR,0,0,Law Enforcement, ,0.28,20,2,NNE,2,NNE,WHITEHORSE,06/21/2014,1747,45.3,-100.89,45.302,-100.8849,"A tornado touched down briefly in open country with no damage reported.","Numerous thunderstorms developed along a stationary boundary across central and north central South Dakota. Several of these thunderstorms became severe with large hail up to baseball size, damaging winds, flash flooding, along with an isolated tornado.",6
533230,POLK CO.,GREENVIEW,06/21/2014,1935,Tornado, ,EF1,0,0,5000,0,MN,CST-6, ,85007,C,119,FGF,0,0,NWS Storm Survey, ,2,300,6,E,0,E,MELVIN,06/21/2014,1942,47.63,-96.4411,47.63,-96.4,"A tornado wrapped in damaging winds... large hail and heavy rains tracked intermittently across portions of the Chicog Wildlife Management Area. Numerous trees were snapped and large tree limbs were broken down along this path. peak winds estimated to 90 mph.","Thunderstorms formed along and ahead of a cold front that was located over central North Dakota late in the afternoon of the 21st. The thunderstorms produced large hail and strong winds.",7
527702,BEAVER CO.,CLEAR LAKE,06/22/2014,1642,Tornado, ,EF0,0,0,0,0,OK,CST-6, ,87142,C,7,AMA,0,0,NWS Storm Survey, ,2.01,100,3,S,4,NW,LOGAN,06/22/2014,1650,36.6354,-100.2722,36.6062,-100.2713,"A slow moving supercell thunderstorm moved southward across the eastern Oklahoma Panhandle during the evening hours of the 22nd. This supercell produced multiple brief tornadoes over the course of several hours. This tornado developed across eastern Beaver County near Slapout (Beaver County). The tornado caused minor damage to an old barn as well as minor roof damage to a manufactured home. A few outbuildings were also damaged as the tornado drifted south across US. Highway 412. The winds were estimated at 80 mph. After producing this tornado, the parent supercell continued moving southward across the eastern Oklahoma Panhandle.","A favorable northwest flow aloft pattern and abundant moisture resulted in a round of severe convection for the 22nd and into the early morning hours of the 23rd. A discrete supercell developed over the eastern Oklahoma Panhandle during the early afternoon hours of the 22nd. This supercell would go on to produce several brief tornadoes and hail up to the size of tennis balls while slowly moving southward across the far eastern Oklahoma Panhandle. The outflow from this tornadic supercell interacted with discrete storms developing along a southward moving cold front over western Kansas, and caused the storms to transition into a linear structure. This line would enter the central Oklahoma Panhandle around 8 PM CST before exiting by 10 PM CST.",8
527703,BEAVER CO.,ELMWOOD,06/22/2014,1703,Tornado, ,EF1,0,0,0,0,OK,CST-6, ,87142,C,7,AMA,0,0,NWS Storm Survey, ,3.77,150,7,E,7,WNW,LOGAN,06/22/2014,1713,36.6286,-100.3962,36.5916,-100.3464,"A slow moving supercell thunderstorm moved southward across the eastern Oklahoma Panhandle during the evening hours of the 22nd. This supercell produced multiple brief tornadoes over the course of several hours. This tornado developed across eastern Beaver County roughly 12 miles west of Slapout (Beaver County). The tornado snapped nearly two dozen power poles and caused damage to a barn with the east wall and roof missing. It also damaged a center pivot irrigation system and caused additional roof and wall damage to a barn and house. The winds were estimated at 90 mph. After producing this tornado, the parent supercell continued moving southward across the eastern Oklahoma Panhandle.","A favorable northwest flow aloft pattern and abundant moisture resulted in a round of severe convection for the 22nd and into the early morning hours of the 23rd. A discrete supercell developed over the eastern Oklahoma Panhandle during the early afternoon hours of the 22nd. This supercell would go on to produce several brief tornadoes and hail up to the size of tennis balls while slowly moving southward across the far eastern Oklahoma Panhandle. The outflow from this tornadic supercell interacted with discrete storms developing along a southward moving cold front over western Kansas, and caused the storms to transition into a linear structure. This line would enter the central Oklahoma Panhandle around 8 PM CST before exiting by 10 PM CST.",9
526467,MORGAN CO.,GOODRICH,06/22/2014,1706,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,87236,C,87,BOU,0,0,Storm Chaser, ,0.1,50,4,NW,4,NW,GOODRICH,06/22/2014,1706,40.4,-104.12,40.4,-104.12,"A tornado touched down briefly in an open field; no damage was observed.","Severe thunderstorms produced large hail, from quarter to golfball size, across parts of Larimer, Morgan, Phillips and Morgan Counties.  One tornado touched down briefly in an open field.  In Douglas and Elbert Counties, lightning sparked three fires in the vicinities of Franktown and Elizabeth in the span of ten minutes.",10
